uid expr treatment rep update lineage
final_comps_comp50_52 final_comps comp50 52 16800 0.572227
final_comps_comp50_52 final_comps comp50 52 16900 0.569733
final_comps_comp50_52 final_comps comp50 52 17000 0.55437
final_comps_comp50_52 final_comps comp50 52 17100 0.53819
final_comps_comp50_52 final_comps comp50 52 17200 0.542243
final_comps_comp50_52 final_comps comp50 52 17300 0.542672
final_comps_comp50_52 final_comps comp50 52 17400 0.544393
final_comps_comp50_52 final_comps comp50 52 17500 0.537519
final_comps_comp50_52 final_comps comp50 52 17600 0.540588
final_comps_comp50_52 final_comps comp50 52 17700 0.574854
final_comps_comp50_52 final_comps comp50 52 17800 0.575234
final_comps_comp50_52 final_comps comp50 52 17900 0.567355
final_comps_comp50_52 final_comps comp50 52 18000 0.563124
final_comps_comp50_52 final_comps comp50 52 18100 0.563405
final_comps_comp50_52 final_comps comp50 52 18200 0.565078
final_comps_comp50_52 final_comps comp50 52 18300 0.571984
final_comps_comp50_52 final_comps comp50 52 18400 0.583012
final_comps_comp50_52 final_comps comp50 52 18500 0.593044
final_comps_comp50_52 final_comps comp50 52 18600 0.601294
final_comps_comp50_52 final_comps comp50 52 18700 0.613019
final_comps_comp50_52 final_comps comp50 52 18800 0.625882
final_comps_comp50_52 final_comps comp50 52 18900 0.64147
final_comps_comp50_52 final_comps comp50 52 19000 0.605464
final_comps_comp50_52 final_comps comp50 52 19100 0.602941
final_comps_comp50_52 final_comps comp50 52 19200 0.588821
final_comps_comp50_52 final_comps comp50 52 19300 0.563347
