uid expr treatment rep update popsize
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 19500 3460
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 19600 3428
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 19700 3438
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 19800 3480
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 19900 3423
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 20000 3444
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 20100 3418
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 20200 3420
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 20300 3385
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 20400 3384
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 20500 3463
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 20600 3387
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 20700 3390
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 20800 3353
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 20900 3470
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 21000 3422
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 21100 3430
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 21200 3418
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 21300 3395
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 21400 3405
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 21500 3487
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 21600 3419
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 21700 3416
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 21800 3437
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 21900 3406
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 22000 3449
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 22100 3469
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 22200 3386
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 22300 3464
