uid expr treatment rep update pop_size
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3400 3231
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3500 3154
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3600 3237
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3700 3200
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3800 3273
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3900 3189
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4000 3284
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4100 3269
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4200 3308
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4300 3221
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4400 3237
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4500 3273
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4600 3227
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4700 3347
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4800 3286
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4900 3315
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 5000 3287
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 5100 3307
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 5200 3285
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 5300 3327
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 5400 3425
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 5500 3341
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 5600 3350
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 5700 3365
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 5800 3313
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 5900 3318
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 6000 3441
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 6100 3318
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 6200 3360
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 6300 3352
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 6400 3310
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 6500 3360
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 6600 3319
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 6700 3346
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 6800 3329
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 6900 3311
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 7000 3378
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 7100 3354
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 7200 3335
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 7300 3346
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 7400 3386
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 7500 3276
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 7600 3396
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 7700 3356
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 7800 3413
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 7900 3322
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 8000 3416
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 8100 3367
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 8200 3324
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 8300 3343
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 8400 3362
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 8500 3429
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 8600 3346
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 8700 3406
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 8800 3380
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 8900 3436
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 9000 3352
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 9100 3377
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 9200 3403
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 9300 3394
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 9400 3353
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 9500 3312
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 9600 3354
