uid expr treatment rep update orgs_killed
reg_test_noqs_reg_51 reg_test noqs_reg 51 27200 2655
reg_test_noqs_reg_51 reg_test noqs_reg 51 27300 3262
reg_test_noqs_reg_51 reg_test noqs_reg 51 27400 2945
reg_test_noqs_reg_51 reg_test noqs_reg 51 27500 3262
reg_test_noqs_reg_51 reg_test noqs_reg 51 27600 2788
reg_test_noqs_reg_51 reg_test noqs_reg 51 27700 2991
reg_test_noqs_reg_51 reg_test noqs_reg 51 27800 2845
reg_test_noqs_reg_51 reg_test noqs_reg 51 27900 3001
reg_test_noqs_reg_51 reg_test noqs_reg 51 28000 3289
reg_test_noqs_reg_51 reg_test noqs_reg 51 28100 2806
reg_test_noqs_reg_51 reg_test noqs_reg 51 28200 2846
reg_test_noqs_reg_51 reg_test noqs_reg 51 28300 2735
reg_test_noqs_reg_51 reg_test noqs_reg 51 28400 2769
reg_test_noqs_reg_51 reg_test noqs_reg 51 28500 2912
reg_test_noqs_reg_51 reg_test noqs_reg 51 28600 2968
reg_test_noqs_reg_51 reg_test noqs_reg 51 28700 2824
reg_test_noqs_reg_51 reg_test noqs_reg 51 28800 2975
reg_test_noqs_reg_51 reg_test noqs_reg 51 28900 3067
reg_test_noqs_reg_51 reg_test noqs_reg 51 29000 2859
reg_test_noqs_reg_51 reg_test noqs_reg 51 29100 2778
reg_test_noqs_reg_51 reg_test noqs_reg 51 29200 3055
reg_test_noqs_reg_51 reg_test noqs_reg 51 29300 2679
reg_test_noqs_reg_51 reg_test noqs_reg 51 29400 2777
reg_test_noqs_reg_51 reg_test noqs_reg 51 29500 2989
reg_test_noqs_reg_51 reg_test noqs_reg 51 29600 2836
reg_test_noqs_reg_51 reg_test noqs_reg 51 29700 2844
reg_test_noqs_reg_51 reg_test noqs_reg 51 29800 2754
reg_test_noqs_reg_51 reg_test noqs_reg 51 29900 3205
reg_test_noqs_reg_51 reg_test noqs_reg 51 30000 2795
reg_test_noqs_reg_52 reg_test noqs_reg 52 0 0
reg_test_noqs_reg_52 reg_test noqs_reg 52 100 0
reg_test_noqs_reg_52 reg_test noqs_reg 52 200 7
reg_test_noqs_reg_52 reg_test noqs_reg 52 300 128
reg_test_noqs_reg_52 reg_test noqs_reg 52 400 301
reg_test_noqs_reg_52 reg_test noqs_reg 52 500 1334
reg_test_noqs_reg_52 reg_test noqs_reg 52 600 2734
reg_test_noqs_reg_52 reg_test noqs_reg 52 700 3712
reg_test_noqs_reg_52 reg_test noqs_reg 52 800 4784
reg_test_noqs_reg_52 reg_test noqs_reg 52 900 5176
reg_test_noqs_reg_52 reg_test noqs_reg 52 1000 5449
reg_test_noqs_reg_52 reg_test noqs_reg 52 1100 5640
reg_test_noqs_reg_52 reg_test noqs_reg 52 1200 5355
reg_test_noqs_reg_52 reg_test noqs_reg 52 1300 5624
reg_test_noqs_reg_52 reg_test noqs_reg 52 1400 5412
reg_test_noqs_reg_52 reg_test noqs_reg 52 1500 5373
reg_test_noqs_reg_52 reg_test noqs_reg 52 1600 5287
reg_test_noqs_reg_52 reg_test noqs_reg 52 1700 5270
reg_test_noqs_reg_52 reg_test noqs_reg 52 1800 5204
reg_test_noqs_reg_52 reg_test noqs_reg 52 1900 5039
reg_test_noqs_reg_52 reg_test noqs_reg 52 2000 4927
reg_test_noqs_reg_52 reg_test noqs_reg 52 2100 4881
reg_test_noqs_reg_52 reg_test noqs_reg 52 2200 4536
reg_test_noqs_reg_52 reg_test noqs_reg 52 2300 4563
reg_test_noqs_reg_52 reg_test noqs_reg 52 2400 4561
reg_test_noqs_reg_52 reg_test noqs_reg 52 2500 4643
reg_test_noqs_reg_52 reg_test noqs_reg 52 2600 4310
reg_test_noqs_reg_52 reg_test noqs_reg 52 2700 4273
reg_test_noqs_reg_52 reg_test noqs_reg 52 2800 4237
reg_test_noqs_reg_52 reg_test noqs_reg 52 2900 3981
reg_test_noqs_reg_52 reg_test noqs_reg 52 3000 3948
reg_test_noqs_reg_52 reg_test noqs_reg 52 3100 4020
reg_test_noqs_reg_52 reg_test noqs_reg 52 3200 3883
reg_test_noqs_reg_52 reg_test noqs_reg 52 3300 3693
reg_test_noqs_reg_52 reg_test noqs_reg 52 3400 3666
reg_test_noqs_reg_52 reg_test noqs_reg 52 3500 3692
reg_test_noqs_reg_52 reg_test noqs_reg 52 3600 3544
reg_test_noqs_reg_52 reg_test noqs_reg 52 3700 3618
reg_test_noqs_reg_52 reg_test noqs_reg 52 3800 3465
reg_test_noqs_reg_52 reg_test noqs_reg 52 3900 3411
reg_test_noqs_reg_52 reg_test noqs_reg 52 4000 3510
reg_test_noqs_reg_52 reg_test noqs_reg 52 4100 3309
reg_test_noqs_reg_52 reg_test noqs_reg 52 4200 3328
reg_test_noqs_reg_52 reg_test noqs_reg 52 4300 3190
reg_test_noqs_reg_52 reg_test noqs_reg 52 4400 3171
reg_test_noqs_reg_52 reg_test noqs_reg 52 4500 3272
reg_test_noqs_reg_52 reg_test noqs_reg 52 4600 2877
